Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,64200,2,-500,-0.77,64700,65400,64200,28433030,1842321896031,383260039710000,5969782550,STK
000660,KR7000660001,SK하이닉스,KOSPI,,183800,1,2900,1.6,187500,189300,183800,6886272,1282739690900,133806834687000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,414500,1,1000,0.24,413000,418000,406500,250953,103580392000,96993000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,986000,2,-66000,-6.27,1047000,1048000,986000,215610,216745750000,70177564000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,254500,2,-4500,-1.74,257500,259000,253500,493853,126567653250,53296420609500,209416191,STK
005935,KR7005931001,삼성전자우,KOSPI,,53100,2,-400,-0.75,53500,54100,53100,2101187,112600882600,43695283770000,822886700,STK
068270,KR7068270008,셀트리온,KOSPI,,194800,2,-7200,-3.56,201000,201500,194800,934345,183850207100,42275727812000,217021190,STK
000270,KR7000270009,기아,KOSPI,,104800,2,-100,-0.1,105000,106300,104000,1180495,124113302250,41905162101600,399858417,STK
105560,KR7105560007,KB금융,KOSPI,,83800,1,2600,3.2,83100,85200,82700,2341375,197329509050,32977681847400,393528423,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,386500,1,3500,0.91,387500,390000,379500,414432,160547234000,31934321710500,82624377,STK
055550,KR7055550008,신한지주,KOSPI,,56200,2,-800,-1.4,56400,57900,56200,1171368,66928364750,28627898626800,509393214,STK
035420,KR7035420009,NAVER,KOSPI,,170400,2,-500,-0.29,170900,171400,168600,844604,143844871000,27397680163200,160784508,STK
006400,KR7006400006,삼성SDI,KOSPI,,384000,2,-3500,-0.9,388000,391000,381500,235806,91053879500,26405579520000,68764530,STK
051910,KR7051910008,LG화학,KOSPI,,357500,2,-500,-0.14,360000,368500,353500,477097,172227297500,25236762622500,70592343,STK
028260,KR7028260008,삼성물산,KOSPI,,140200,2,-2100,-1.48,142500,142500,140000,199763,28131939100,24925331801400,177784107,STK
012330,KR7012330007,현대모비스,KOSPI,,221500,2,-5500,-2.42,226000,226500,221500,129908,29036451000,20598413321000,92995094,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,251000,2,-2000,-0.79,256000,256000,248500,325071,82087325500,19443268220000,77463220,STK
